chunk_id,insurer_code,document_id,doc_type,page_start,current_code,coverage_lines_count,mapped_lines_count,raw_names
5255,KB,18,가입설계서,1,A9630_1,10,9,보험료납입면제대상보장; 골절진단비; 화상진단비; 질병수술비; 암수술비(유사암제외); 유사암수술비; 허혈성심장질환수술비; 상해수술비; 특정항암호르몬약물허가치료비(최초1회한); 혈전용해치료비
5257,KB,18,가입설계서,5,A4104_1,1,1,골절진단비
5258,KB,18,가입설계서,6,A9630_1,7,4,보장명 및 보장; 화상진단비; 질병수술비; 보험기간 중 암보장; 항암방사선 및 항암약물치료는 보장; 유사암수술비; 상해수술비
3217,LOTTE,10,가입설계서,1,A9620_1,34,32,상해사망; 질병사망; 일반암진단비; 유사암진단비; 재진단암진단비; 고액치료비암진단비; 일반암수술비(1회한); 유사암수술비(매회); 항암방사선치료비; 항암약물치료비; 다빈치로봇암수술비(갑상선암및전립선암제외); 다빈치로봇갑상선암및전립선암수술비(최초1회한); 표적항암약물허가치료비(유방암및비뇨생식기암); 표적항암약물허가치료비(3대주요기관암)(1회한); 표적항암약물
3218,LOTTE,10,가입설계서,4,A4210,9,6,상해사망; 상해사고로 사망; 질병사망; 보험기간 중에 질병으로 사망; 일반암진단비; 유사암진단비; 재진단암진단비; 첫번째암의 보장; 고액치료비암진단비
3222,LOTTE,10,가입설계서,8,A5107_1,10,10,상해입원비(1일-180일); 질병입원비(1일-180일); 뇌혈관질환진단비; 뇌졸중진단비; 뇌출혈진단비; 혈전용해치료비; 허혈성심장질환진단비; 혈전용해치료비; 뇌혈관질환수술비; 허혈심장질환수술비
3223,LOTTE,10,가입설계서,9,A5100,10,6,상해입원수술비(당일입원제외); 회 이상 받은 경우에는 하나의 보험금; 상해통원수술비(당일입원포함); 회 이상 받은 경우에는 하나의 보험금; 질병입원수술비(당일입원제외); 회 이상 받은 경우에는 하나의 보험금; 질병통원수술비(당일입원포함); 회 이상 받은 경우에는 하나의 보험금; 골절진단비(치아파절제외); 화상진단비
3226,LOTTE,11,가입설계서,1,A9620_1,34,32,상해사망; 질병사망; 일반암진단비; 유사암진단비; 재진단암진단비; 고액치료비암진단비; 일반암수술비(1회한); 유사암수술비(매회); 항암방사선치료비; 항암약물치료비; 다빈치로봇암수술비(갑상선암및전립선암제외); 다빈치로봇갑상선암및전립선암수술비(최초1회한); 표적항암약물허가치료비(유방암및비뇨생식기암); 표적항암약물허가치료비(3대주요기관암)(1회한); 표적항암약물
3227,LOTTE,11,가입설계서,4,A4210,9,6,상해사망; 상해사고로 사망; 질병사망; 보험기간 중에 질병으로 사망; 일반암진단비; 유사암진단비; 재진단암진단비; 첫번째암의 보장; 고액치료비암진단비
3231,LOTTE,11,가입설계서,8,A5107_1,10,10,상해입원비(1일-180일); 질병입원비(1일-180일); 뇌혈관질환진단비; 뇌졸중진단비; 뇌출혈진단비; 혈전용해치료비; 허혈성심장질환진단비; 혈전용해치료비; 뇌혈관질환수술비; 허혈심장질환수술비
3232,LOTTE,11,가입설계서,9,A5100,10,6,상해입원수술비(당일입원제외); 회 이상 받은 경우에는 하나의 보험금; 상해통원수술비(당일입원포함); 회 이상 받은 경우에는 하나의 보험금; 질병입원수술비(당일입원제외); 회 이상 받은 경우에는 하나의 보험금; 질병통원수술비(당일입원포함); 회 이상 받은 경우에는 하나의 보험금; 골절진단비(치아파절제외); 화상진단비
3257,LOTTE,12,사업방법서,65,A4299_1,4,1,자동차사고성형치료비(자가용); 상해흉터복원수술비; 질병을 원인으로 하는 사망을 특별약관으로 보장; 질병사망보험금
3301,LOTTE,13,사업방법서,70,A4299_1,4,1,자동차사고성형치료비(자가용); 상해흉터복원수술비; 질병을 원인으로 하는 사망을 특별약관으로 보장; 질병사망보험금
3332,LOTTE,14,상품요약서,15,,3,1,질병수술비(1~5종)(매회); 자동차사고성형치료비(자가용); 상해흉터복원수술비
3388,LOTTE,14,상품요약서,133,A4210,11,7,"상해사망; 일반암진단비; 유사암진단비; 뇌졸중진단비; 급성심근경색증진단비; 질병사망; 상해입원비(1일-180일); 질병입원비(1일-180일); 통풍진단비; 대상포진진단비(30일면책,1회한); 간경변증진단비"
3397,LOTTE,15,상품요약서,14,,4,1,특정전이암진단비; 자동차사고성형치료비(자가용); 상해흉터복원수술비; 질병사망보험금
3455,LOTTE,15,상품요약서,136,A4210,11,7,"상해사망; 일반암진단비; 유사암진단비; 뇌졸중진단비; 급성심근경색증진단비; 질병사망; 상해입원비(1일-180일); 질병입원비(1일-180일); 통풍진단비; 대상포진진단비(30일면책,1회한); 간경변증진단비"
1282,MERITZ,6,가입설계서,3,A6200,4,3,상해수술비; 질병수술비; 신화상치료비(화상수술비); 신화상치료비(화상진단비)
1287,MERITZ,6,가입설계서,9,A9630_1,3,3,상해수술비; 하나의 상해수술비; 질병수술비
1506,MERITZ,8,상품요약서,57,A6200,3,3,일반상해사망보장; 일반상해사망보장; 에 의하여 일반상해사망보장
1577,MERITZ,8,상품요약서,163,A6200,6,5,일반상해사망; 상해수술비; 암수술비(유사암제외); 사선약물치료비; 신화상치료비(화상진단비); 신화상치료비(중증및화상부식진단비)
1,SAMSUNG,1,가입설계서,1,A4299_1,36,20,"암 진단비(유사암 제외); 유사암 진단비(기타피부암)(1년50%); 유사암 진단비(갑상선암)(1년50%); 유사암 진단비(대장점막내암)(1년50%); 유사암 진단비(제자리암)(1년50%); 유사암 진단비(경계성종양)(1년50%); 진단비(1년주기,5회한); 뇌출혈 진단비; 뇌졸중 진단비(1년50%); 뇌혈관질환 진단비(1년50%); 허혈성심장질환 진단비(1"
3,SAMSUNG,1,가입설계서,5,A4299_1,16,1,"의 보장; 년 미만에 보험금; 년 미만에 보험금; 년 미만에 보험금; 년 미만에 보험금; 년 미만에 보험금; 진단비(1년주기, 5회한); 회차 보험금이 지급된 경우 보장; 암의 보장; 갑상선암의 보장; 암의 보장; 갑상선암의 보장; 년 미만에 보험금; 뇌출혈 진단비; 뇌졸중 진단비(1년50%); 년 미만에 보험금"
4,SAMSUNG,1,가입설계서,6,A5100,8,2,년 미만에 보험금; 년 미만에 보험금; 년 미만에 보험금; 년 미만에 보험금; 혈전용해 치료비; 혈전용해 치료비; 암의 보장; 양의 보장
5,SAMSUNG,1,가입설계서,7,A9630_1,15,5,의 보장; 기타피부암 수술비; 제자리암 수술비; 경계성종양 수술비; 갑상선암 수술비; 대장점막내암 수술비; 일 미만에 보험금; 년 미만에 보험금; 특정암의 보장; 일 미만에 보험금; 년 미만에 보험금; 년 미만에 보험금; 년 미만에 보험금; 골절 진단비; 화상 진단비
